Experimento 3
Cantidad de Documentos = 40
78        años    estudios 0.5681996            FALSE
77    estudios        años 0.5681996            FALSE
13      cáncer       grupo 0.5433110            FALSE
14       grupo      cáncer 0.5433110            FALSE
67    análisis   pacientes 0.5166355            FALSE
68   pacientes    análisis 0.5166355            FALSE
66       casos   pacientes 0.5162396            FALSE
65   pacientes       casos 0.5162396            FALSE
21      cáncer   pacientes 0.5106083            FALSE
22   pacientes      cáncer 0.5106083            FALSE
34     estudio      riesgo 0.4990179            FALSE
33      riesgo     estudio 0.4990179            FALSE
23    estudios   pacientes 0.4931858            FALSE
24   pacientes    estudios 0.4931858            FALSE
7     análisis      cáncer 0.4801645            FALSE
8       cáncer    análisis 0.4801645            FALSE
55       casos  resultados 0.4744452            FALSE
56  resultados       casos 0.4744452            FALSE
47        años       casos 0.4707304            FALSE
48       casos        años 0.4707304            FALSE
25      cáncer  resultados 0.4701905            FALSE
26  resultados      cáncer 0.4701905            FALSE
61      cáncer       casos 0.4627540            FALSE
62       casos      cáncer 0.4627540            FALSE
30       casos       mayor 0.4595229            FALSE
29       mayor       casos 0.4595229            FALSE
69 diagnóstico   pacientes 0.4568462            FALSE
70   pacientes diagnóstico 0.4568462            FALSE
75        años       forma 0.4366607            FALSE
76       forma        años 0.4366607            FALSE
43       casos     estudio 0.4313856            FALSE
44     estudio       casos 0.4313856            FALSE
15      cáncer     estudio 0.4298854            FALSE
16     estudio      cáncer 0.4298854            FALSE
5         años  resultados 0.4258646            FALSE
6   resultados        años 0.4258646            FALSE
40        años   pacientes 0.4081481            FALSE
39   pacientes        años 0.4081481            FALSE
18       grupo       mayor 0.3989908            FALSE
17       mayor       grupo 0.3989908            FALSE
51        años     estudio 0.3980440            FALSE
52     estudio        años 0.3980440            FALSE
28       mayor   pacientes 0.3882241            FALSE
27   pacientes       mayor 0.3882241            FALSE
46        años      cáncer 0.3860365            FALSE
45      cáncer        años 0.3860365            FALSE
50      cáncer    estudios 0.3802337            FALSE
49    estudios      cáncer 0.3802337            FALSE
42       forma   pacientes 0.3799077            FALSE
41   pacientes       forma 0.3799077            FALSE
11       mayor  resultados 0.3759539            FALSE
12  resultados       mayor 0.3759539            FALSE
38     estudio       grupo 0.3668874            FALSE
37       grupo     estudio 0.3668874            FALSE
53        años       grupo 0.3518315            FALSE
54       grupo        años 0.3518315            FALSE
64     estudio    estudios 0.3505504            FALSE
63    estudios     estudio 0.3505504            FALSE
1       cáncer       mayor 0.3418748            FALSE
2        mayor      cáncer 0.3418748            FALSE
72     estudio       mayor 0.3151695            FALSE
71       mayor     estudio 0.3151695            FALSE
10       grupo   pacientes 0.3099016            FALSE
9    pacientes       grupo 0.3099016            FALSE
36     estudio   pacientes 0.3094565            FALSE
35   pacientes     estudio 0.3094565            FALSE
59    análisis     estudio 0.3080899            FALSE
60     estudio    análisis 0.3080899            FALSE
3     estudios       mayor 0.2966286            FALSE
4        mayor    estudios 0.2966286            FALSE
20        años       mayor 0.2823884            FALSE
19       mayor        años 0.2823884            FALSE
57     estudio  resultados 0.2804150            FALSE
58  resultados     estudio 0.2804150            FALSE
31   pacientes  resultados 0.2697183            FALSE
32  resultados   pacientes 0.2697183            FALSE
74     estudio       forma 0.2298846            FALSE
73       forma     estudio 0.2298846            FALSE

Cantidad de Documentos = 40
Support mínimo = 0.7
Umbral de Disimilaridad = 90%

================================
 Reglas de Asociación Obtenidas
================================
         ant      cons     disim mayor_que_umbral
9     cáncer pacientes 0.5106083            FALSE
10 pacientes    cáncer 0.5106083            FALSE
15    cáncer   estudio 0.4298854            FALSE
16   estudio    cáncer 0.4298854            FALSE
2       años pacientes 0.4081481            FALSE
1  pacientes      años 0.4081481            FALSE
7       años   estudio 0.3980440            FALSE
8    estudio      años 0.3980440            FALSE
4      mayor pacientes 0.3882241            FALSE
3  pacientes     mayor 0.3882241            FALSE
12      años    cáncer 0.3860365            FALSE
11    cáncer      años 0.3860365            FALSE
6    estudio     mayor 0.3151695            FALSE
5      mayor   estudio 0.3151695            FALSE
14   estudio pacientes 0.3094565            FALSE
13 pacientes   estudio 0.3094565            FALSE

Cantidad de Documentos = 40
Support mínimo = 0.9
Umbral de Disimilaridad = 90%

================================
 Reglas de Asociación Obtenidas
================================

